id,City,longitude,latitude
1,D�sseldorf,"67,734,556","512,277,411"
2,Verviers,"58,655,951","505,910,564"
3,Mondorf-les-Bains,"62,801,403","495,078,241"
4,Vittel,"59,434,965","482,025,406"
5,Vesoul,"615,428","47,619,788"
6,Troyes,"40,744,009","482,973,451"
7,Dole,"-947,323,481","389,697,427"
8,Nantua,"5,607,762","46,153,405"
9,P�rigueux,"0,7211149","45,184,029"
10,Eymet,"0,397723","44,668,628"
11,Pau,"-0,370797","432,951"
12,Saint-Girons,"1,146,088","42,982,876"
13,Blagnac,"139,703","43,635,087"
14,Laissac-S�v�rac-l'�glise,"2,846,292","44,362,405"
15,Le Puy-en-Velay,"3,882,936","4,542,768"
16,La Mure,"5,784,528","44,906,521"
17,Brian�on,"6,643,179","44,899,416"
18,Embrun,"-75,275,411","45,275,646"
19,Marseille,"536,978","43,296,482"
20,Montgeron,"24,604,529","48,703,859"
21,Mont Saint-Michel,"-1,511,457","48,636,063"
22,Saint-L�,"-10,828,136","491,154,686"
23,Granville,"-118,255,375","341,449,828"
24,Saumur,"-0,080893","47,260,135"
25,Limoges,"1,261,105","45,833,619"
26,Arpajon-sur-C�re,"24,582,799","44,901,275"
27,L'Isle-Jourdain,"1,081,741","436,138,369"
28,Vielha Val d'Aran,"0,7722974","427,245,643"
29,Escaldes-Engordany,"15,886,966","424,909,379"
30,Carcassonne,"23,517,703","432,132,151"
31,Montpellier,"3,876,716","43,610,769"
32,Bourg-Saint-And�ol,"4,647,069","443,691,869"
33,Mont�limar,"4,749,496","44,556,944"
34,Bourg-en-Bresse,"52,255,007","462,051,675"
35,Moirans-en-Montagne,"5,723,854","464,308,989"
36,Bern,"74,474,468","469,479,739"
37,Sallanches,"66,305,569","45,936,661"
38,Albertville,"-936,687,657","452,312,337"
39,Meg�ve,"661,775","45,856,876"
40,Chantilly,"-774,310,992","388,942,786"
41,Utrecht,"51,214,201","52,907,374"
42,Antwerp,"44,024,643","512,194,475"
43,Seraing,"54,996,296","505,838,832"
44,Arras,"2,777,535","50,291,002"
45,Abbeville,"-921,342,921","299,746,502"
46,Livarot,"0,149727","49,436"
47,Rennes,"-16,777,926","48,117,266"
48,Vannes,"-2,760,847","47,658,236"
49,Tarbes,"0,078082","43,232,951"
50,Lannemezan,"0,38396","43,125,519"
51,Muret,"133,071","43,461,574"
52,Rodez,"2,575,986","44,349,389"
53,Mende,"3,501,873","44,517,611"
54,Bourg-de-P�age,"5,050,948","4,540,419"
55,Digne-les-Bains,"6,235,976","4,492,193"
56,Gap,"-959,640,955","361,322,894"
57,Saint-Jean-de-Maurienne,"6,344,886","45,275,403"
58,Modane,"667,292","45,201,491"
59,S�vres,"22,109,771","488,212,407"
60,Leeds,"-15,490,774","538,007,554"
61,York,"-958,402,258","36,366,068"
62,Cambridge,"0,121817","52,205,337"
63,Le Touquet-Paris-Plage,"1,590,675","50,521,276"
64,Ypres,"28,779,388","508,492,265"
65,�pernay,"3,956,242","4,943,411"
66,Tomblaine,"6,221,307","48,683,482"
67,G�rardmer,"6,877,292","4,870,081"
68,Mulhouse,"7,335,888","47,750,839"
69,Besan�on,"60,240,539","47,237,829"
70,Saint-�tienne,"43,871,779","45,439,695"
71,Grenoble,"5,724,524","45,188,529"
72,Tallard,"6,055,327","44,461,865"
73,Saint-Gaudens,"-723,687,458","435,010,949"
74,Maubourguet Pays du Val d�Adour,"0,0370811","434,675,723"
75,Bergerac,"-1,224,137,329","377,714,444"
76,�vry,"2,441,782","48,629,828"
77,Porto-Vecchio,"9,278,311","41,591,369"
78,Bastia,"9,450,881","42,697,283"
79,Ajaccio,"8,738,635","41,919,229"
80,Nice,"-959,920,829","361,597,653"
81,Cagnes-sur-Mer,"714,882","43,663,739"
82,Aix-en-Provence,"5,447,427","43,529,742"
83,Castres,"2,241,295","43,606,214"
84,Saint-Gildas-des-Bois,"-2,037,288","47,517,319"
85,Avranches,"-136,166","48,686,843"
86,Foug�res,"-1,204,626","483,515,609"
87,Tours,"0,68484","47,394,144"
88,Saint-Pour�ain-sur-Sioule,"3,288,997","46,307,204"
89,Givors,"4,772,829","4,558,329"
90,Vaison-la-Romaine,"5,075,198","44,240,968"
91,Le Bourg-d'Oisans,"6,030,064","4,551,951"
92,Annecy,"6,129,384","45,899,247"
93,Versailles,"21,203,554","488,048,649"
94,Li�ge,"55,796,662","506,325,574"
95,Vis�,"5,699,039","507,371,584"
96,Orchies,"32,428","504,745"
97,Rouen,"1,099,971","49,443,232"
98,Belfort,"-774,318,392","392,934"
99,Arc-et-Senans,"5,781,165","4,732,958"
100,M�con,"4,828,731","463,068,839"
101,Saint-Paul-Trois-Ch�teaux,"4,768,295","44,348,678"
102,Limoux,"2,218,142","4,353,289"
103,Samatan,"0,9306663","434,921,294"
104,Bagn�res-de-Luchon,"0,592943","42,788,963"
105,Bonneval,"1,385,289","48,181,453"
106,Rambouillet,"1,829,079","48,643,868"
107,Passage du Gois,"-21,240,787","469,306,525"
108,Les Essarts,"-123,052","46,774,141"
109,Olonne-sur-Mer,"-1,772,826","46,536,402"
110,Lorient,"-33,702,449","477,482,524"
111,Carhaix,"-3,574,188","48,275,584"
112,Dinan,"-1,216,506,095","371,417,922"
113,Le Mans,"-890,068,311","427,250,835"
114,Aigurande,"1,828,597","46,434,011"
115,Issoire,"3,248,128","4,554,151"
116,Aurillac,"2,444,997","44,930,953"
117,Blaye-les-Mines,"21,316","4,430,913"
118,Cugnaux,"1,344,995","43,537,141"
119,Pinerolo,"73,306,676","448,845,906"
120,Cr�teil,"2,455,572","48,790,367"
121,Rotterdam,"44,777,326","519,244,201"
122,Brussels,"43,517,211","508,503,463"
123,Wanze,"52,141,304","505,344,663"
124,Cambrai,"3,236,633","50,173,538"
125,Montargis,"2,736,291","4,799,729"
126,Tournus,"49,119,529","46,561,816"
127,Station des Rousses,"6,061,806","4,648,434"
128,Morzine-Avoriaz,"6,775,103","4,618,823"
129,Chamb�ry,"5,917,781","45,564,601"
130,Sisteron,"5,943,191","44,194,713"
131,Revel,"-973,136,109","38,414,964"
132,Pamiers,"1,607,953","43,114,753"
133,Salies-de-B�arn,"-0,924854","43,470,556"
134,Bordeaux,"-0,57918","44,837,789"
135,Longjumeau,"22,947,615","486,930,642"
136,Monaco,"74,246,158","437,384,176"
137,Cap d'Agde,"35,053,993","432,807,386"
138,Girona,"28,214,264","419,794,005"
139,Barcelona,"21,734,035","413,850,639"
140,Andorra la Vella,"15,218,355","425,063,174"
141,Vatan,"-73,980,337","407,423,608"
142,Tonnerre,"3,973,527","47,856,724"
143,Colmar,"7,358,512","48,793,589"
144,Pontarlier,"6,354,242","469,041,039"
145,Martigny,"70,755,334","461,049,798"
146,Bourg-Saint-Maurice,"6,769,548","45,618,598"
147,Bourgoin-Jallieu,"527,212","45,597,108"
148,Montereau-Fault-Yonne,"2,956,193","48,384,734"
149,Brest,"-4,486,076","48,390,394"
150,Auray,"-2,983,767","47,666,491"
151,Saint-Malo,"-2,025,674","48,649,337"
152,Cholet,"-0,879787","4,759,407"
153,Brioude,"3,386,482","45,295,564"
154,Figeac,"2,032,871","44,608,288"
155,Toulouse,"1,444,209","43,604,652"
156,Lavelanet,"1,851,472","42,937,653"
157,Narbonne,"3,003,078","43,184,277"
158,N�mes,"4,360,054","43,836,699"
159,Cuneo,"75,426,711","443,844,766"
160,Bourg-d'Oisans,"6,030,064","4,551,951"
161,Roanne,"4,072,695","4,634,432"
162,C�rilly,"2,822,083","466,176"
163,�tampes,"216,142","48,434,416"
164,London,"-0,1277583","515,073,509"
165,Dunkirk,"23,767,763","51,343,684"
166,Waregem - Compi�gne,"34,231,675","508,868,949"
167,Villers-Cotter�ts,"30,908,159","49,255,061"
168,Chablis,"3,800,451","47,815,269"
169,Semur-en-Auxois,"433,234","47,490,238"
170,Le Grand-Bornand,"6,426,699","45,942,027"
171,Val-d'Is�re,"6,980,226","45,448,034"
172,Albi,"21,486,413","439,250,853"
173,Mazamet,"2,376,579","43,490,103"
174,Foix,"1,605,232","42,964,127"
175,Orthez,"-0,7739279","4,348,756"
176,Cahors,"1,441,989","444,475,229"
177,Cognac,"-0,328744","45,691,046"
178,Marcoussis,"22,298,809","48,642,446"
179,Strasbourg,"77,521,113","485,734,053"
180,Obernai,"748,168","4,846,226"
181,Esch-sur-Alzette,"59,860,925","495,008,805"
182,Huy,"52,396,656","505,187,153"
183,Beauvais,"20,807,123","494,295,387"
184,Lisieux,"0,227849","49,145,922"
185,Saint Gr�goire,"-1,683,146","48,153,561"
186,Saint-M�en-le-Grand,"-2,192,985","48,189,812"
187,Cambo-les-Bains,"-13,999,053","433,605,565"
188,Luchon,"0,592943","42,788,963"
189,B�ziers,"3,215,795","43,344,233"
190,Morzine,"6,708,877","46,179,192"
191,Le Creusot,"44,278","46,805,351"
192,Antony/Parc de Sceaux,"23,102,324","487,706,912"
193,Fromentine,"-2,140,027","46,889,175"
194,Challans,"-1,880,412","46,844,828"
195,La Ch�taigneraie,"61,715,518","463,400,962"
196,Chambord,"1,516,878","47,614,158"
197,Lun�ville,"6,492,339","48,592,237"
198,Pforzheim,"86,946,286","488,921,862"
199,Courchevel,"663,469","45,414,659"
200,Miramas,"5,002,136","43,588,896"
201,Agde,"34,768,109","433,088,031"
202,L�zat-sur-L�ze,"1,346,575","43,276,267"
